Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C�te d'Ivoire,Croatia,Cuba,Cura�ao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R�union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2010,Middle-income countries,"4,321,955","79,170","28,888","1,714",55,"153,008",207,"1,566","174,024","768,936","1,056","57,349","44,168","1,108,246",986,"40,198","3,717,516","2,332","1,111,408","27,681","4,743","401,384",84,"7,163","415,255","792,119","37,716","252,865",338,"32,545","514,297","1,300,035","14,001","10,813","648,133","65,351","63,332","1,180",78,"138,825","163,676",110,"248,629","629,318","241,024","21,202","1,216,789","4,918","42,460",54,"25,742","30,943","322,435","52,649",411,"16,370","21,150","79,629","371,627","11,043","1,616",696,"26,209","62,625","327,198","61,461","55,367","138,245","73,916","116,003",..,36,"2,503","9,002","149,584","1,099",..,"4,100",224,"609,354","829,007","236,150",81,"128,708",463,"1,275",174,"1,036","73,022","103,238","7,801","24,324","317,897",..,"54,514","33,773",817,"2,414,041","1,273,782","58,047","1,927,142","14,161",2,"91,806","319,122","3,118","149,215","111,967","2,874,070","22,818","2,322","41,975","640,192","919,537","120,443","58,842","234,704","123,863","29,203",101,"120,091",580,"3,001","70,556","242,821","1,812","554,348",552,95,648,"12,521","9,188",..,"54,809",232,529,"21,312","92,517",183,"19,269","310,266","2,191,131","93,645","1,475","806,853","65,818",278,"13,857","327,147","154,883","232,208",25,148,"22,896","13,962","1,246,784",339,"19,913",827,"633,075","279,897","114,866","94,038","251,238","10,092","12,802","270,706","514,018",287,"44,938","7,741,307","38,509",285,431,"1,313",101,"1,600","16,442",100,"13,267","94,533","94,794","105,248","1,009","6,813","115,997",168,"7,949","36,008","1,057","820,894","65,295","258,746","276,539","223,665","3,217,394","85,169","4,469","65,665","14,433","35,896","257,883","523,596","211,344","104,730","20,542","259,619",133,"2,737","10,433","9,067","120,777","223,650",36,"1,588","336,555","3,814,173","30,177","299,284","57,620","1,125,004",893,"152,671","1,757,643",568,"86,804","224,691",11,"143,953","37,071","62,169","526,133"
2010,Upper-middle-income countries,"2,390,276","78,932","6,671","1,693",55,"81,856",207,"1,439","135,811","700,478",992,"29,848","42,554","850,567",894,"1,248","393,417","2,294","821,681","24,877","2,562","31,195",84,40,"414,887","791,914","36,638","214,829",338,"5,984","511,952","4,669","6,277","1,263","625,317","33,263","48,046","1,162",14,336,"3,583",110,"243,628","265,676","240,528","21,202","1,211,417","4,064","28,666",54,"13,127","4,034","322,246","48,516",259,"15,743","20,663","69,642","37,758","9,896","1,267",693,"25,785","60,606","144,233","35,891","51,324","3,084","62,934","4,998",..,36,"1,427","8,417","95,187","1,081",..,515,119,"513,975","792,916","10,790",72,"125,571",117,"1,275",174,5,"59,422","3,319","1,370","24,320","317,781",..,"24,292","31,806",762,"229,129","1,078,377","43,137","315,732","13,379",..,"19,154","300,855","3,064","98,308","35,745","2,611,806","16,791","2,039","11,969","596,414","829,678","99,799","42,133","234,506",684,"6,836",101,"92,550",571,"2,958","57,020","17,350",105,"32,932",548,1,648,519,"8,881",..,"27,627",232,452,"21,169","92,515",183,"10,350","297,134","1,890,986","91,968",29,"206,882","56,455",..,"10,559","306,577",378,"35,421",24,71,"8,334","1,826","78,338",20,"18,465",101,"629,307","268,966","98,523","86,009","236,866","9,715","1,321","228,185","360,343",287,"41,763","3,069,253","4,600",285,431,"1,313",101,"1,600","16,420",100,"5,082","44,468","21,720","105,099",964,806,"78,688",125,"7,818","36,000",725,"121,351","40,971","1,956","257,870","33,236","827,065","22,219","4,346","65,629","12,773","31,741","82,945","479,622","211,019","25,892",49,"13,557",133,"2,666","10,429","4,377","111,129","197,973",36,"1,300","6,039","3,568,230","3,468","216,146","12,323","975,055",800,"151,955","1,517,583",399,"85,339","129,518",11,"143,953","24,600","61,092","508,924"
2010,Lower-middle-income countries,"1,931,679",238,"22,217",21,..,"71,152",..,127,"38,213","68,458",64,"27,501","1,614","257,679",92,"38,950","3,324,099",38,"289,727","2,804","2,181","370,189",..,"7,123",368,205,"1,078","38,036",..,"26,561","2,345","1,295,366","7,724","9,550","22,816","32,088","15,286",18,64,"138,489","160,093",..,"5,001","363,642",496,..,"5,372",854,"13,794",..,"12,615","26,909",189,"4,133",152,627,487,"9,987","333,869","1,147",349,3,424,"2,019","182,965","25,570","4,043","135,161","10,982","111,005",..,..,"1,076",585,"54,397",18,..,"3,585",105,"95,379","36,091","225,360",9,"3,137",346,..,..,"1,031","13,600","99,919","6,431",4,116,..,"30,222","1,967",55,"2,184,912","195,405","14,910","1,611,410",782,2,"72,652","18,267",54,"50,907","76,222","262,264","6,027",283,"30,006","43,778","89,859","20,644","16,709",198,"123,179","22,367",..,"27,541",9,43,"13,536","225,471","1,707","521,416",4,94,..,"12,002",307,..,"27,182",..,77,143,2,..,"8,919","13,132","300,145","1,677","1,446","599,971","9,363",278,"3,298","20,570","154,505","196,787",1,77,"14,562","12,136","1,168,446",319,"1,448",726,"3,768","10,931","16,343","8,029","14,372",377,"11,481","42,521","153,675",..,"3,175","4,672,054","33,909",..,..,..,..,..,22,..,"8,185","50,065","73,074",149,45,"6,007","37,309",43,131,8,332,"699,543","24,324","256,790","18,669","190,429","2,390,329","62,950",123,36,"1,660","4,155","174,938","43,974",325,"78,838","20,493","246,062",..,71,4,"4,690","9,648","25,677",..,288,"330,516","245,943","26,709","83,138","45,297","149,949",93,716,"240,060",169,"1,465","95,173",..,..,"12,471","1,077","17,209"
2010,Low-income countries,..,..,"8,385",..,..,"262,009",..,..,856,..,..,195,337,..,..,..,530,..,..,680,..,"97,657",..,"73,598",..,..,"3,841","3,231",..,..,..,"62,747","242,031","7,119",..,"35,857","2,524",..,..,"82,661","18,789",..,613,"51,212",149,..,"1,523","10,632","57,645",..,504,"593,012",..,"4,088",..,8,..,158,"673,764",184,"3,025",..,"4,426",..,"5,331",..,95,"13,291",..,"11,583",..,..,..,..,"55,355",..,..,"31,902","17,179",..,"4,117","111,325",..,43,..,..,..,..,..,"215,520","45,247",..,..,..,..,..,..,"480,828","1,284",..,..,12,..,..,"3,354",..,860,..,..,"85,376",..,..,..,..,..,"3,931","7,688","47,773","1,386",..,..,..,"9,689","185,649",178,..,"194,707",..,..,..,"69,817",187,..,563,..,..,..,..,..,"3,873","201,921",..,613,..,..,321,..,..,..,"146,509","116,548",..,..,..,..,"51,997",..,..,..,..,"1,120","2,656",..,"5,176","2,843",..,"5,545",..,857,..,"1,484","264,904",..,..,..,..,..,..,..,121,"1,460","140,365",..,355,"51,725",..,..,..,49,..,"377,521","36,825","127,958","3,526",180,..,"500,094",..,86,239,890,15,"23,991",..,511,..,"74,410",..,..,..,..,8,..,..,..,"246,652",25,..,"17,066","109,157","10,970",..,527,"1,199",..,"4,616",682,..,..,118,"89,462","62,798"
2010,Sub-Saharan Africa,124,140,"10,956",..,..,"407,579",..,469,"2,154",63,..,"7,447","5,258",..,50,190,"9,786",25,206,"8,186",..,"498,854",51,..,140,174,"41,503","4,202",19,19,"3,404","1,362,237","255,830","16,431",..,"99,947","7,299",..,..,"221,141","181,173",..,605,"36,696","1,405",..,509,"69,462","97,017",..,..,"622,217",858,"4,395",..,"4,224","1,786",473,"1,044,558","2,763","3,025",..,..,..,"24,563",..,"55,305","147,358",124,"120,417",..,..,39,634,"178,896",..,..,"35,960","17,342",..,"62,416","345,966",46,"7,943",..,..,..,..,77,"317,598","51,616",48,..,..,..,..,27,"83,215","1,261",634,276,"11,039",..,"3,989","23,679",166,"2,049",48,..,"104,853",..,108,31,27,360,"8,057","242,392","171,549","6,930",..,344,69,"34,674","256,135",833,82,"747,702",292,..,..,"79,899","14,392","6,294",248,..,22,..,..,..,"5,566","510,556",185,"93,836",19,266,"18,955",..,"2,755",93,"300,896","341,419",17,22,"1,345",27,"12,303",..,50,50,102,177,"2,185","8,662","58,363",..,..,"2,326",..,"1,144","1,418","7,574","303,305",193,22,..,..,..,..,..,"13,330","2,295","231,520","3,326","1,290","58,259",780,..,361,49,..,"876,730","97,143","384,124","4,027","3,825",243,"510,375",..,"65,672",923,"2,536",314,..,103,"1,039",8,"334,017",..,..,22,477,"1,012",..,..,..,"582,252","3,570",222,"157,007","165,836","26,927",68,98,..,..,258,138,..,..,428,"150,293","588,647"
2010,AFRICA,606,520,"33,298",..,..,"407,606",..,485,"2,389",441,..,"8,553","6,493",31,64,"1,427","11,134",25,"1,143","10,377",..,"498,889",51,..,140,525,"41,503","4,552",19,84,"3,469","1,362,299","255,865","16,431",..,"100,621","10,423",..,..,"221,196","182,249",..,631,"40,145","1,405",..,564,"74,126","98,871",..,..,"623,466",955,"4,395",..,"4,305","1,976",570,"1,045,066","3,730","4,638",..,..,12,"45,483",828,"55,305","149,616",149,"122,655",..,..,39,"1,605","220,155",..,..,"35,960","17,370",..,"78,797","346,732",55,"11,465",..,..,..,..,86,"319,308","52,852",48,..,..,..,426,27,"88,679","16,808","1,141","79,347","11,129",..,"4,655","37,327",166,"4,025","25,036",912,"105,281",..,"13,535",90,27,360,"22,944","242,392","171,594","21,614",..,344,69,"34,713","256,162","11,270",109,"749,300",292,..,..,"82,451","14,392","6,294",310,..,344,14,..,..,"15,389","510,572",197,"94,087",19,266,"21,457",..,"2,842",93,"301,323","345,129",17,22,"1,757","2,039","15,065",..,50,50,102,177,"7,127","9,621","58,406",..,"1,631","3,242",59,"1,144","2,175","21,734","303,347",193,22,..,..,..,..,..,"13,330","44,856","236,114","3,326","1,309","58,529","1,509",..,420,49,..,"998,630","97,927","385,700","8,169","4,361","408,784","551,188",..,"65,672","1,919","4,645","37,114",724,216,"4,578",8,"334,017",..,..,22,"5,904","4,102",256,..,..,"582,334","4,507","3,356","167,989","166,208","44,173",68,98,440,..,290,138,..,"143,923","26,796","150,318","588,679"
2010,Eastern Africa,..,..,..,..,..,"38,633",..,..,..,..,..,310,..,..,..,..,"7,581",..,..,680,..,..,..,..,..,..,"4,759",..,..,..,..,..,"211,844","6,524",..,243,791,..,..,"5,166","5,327",..,..,"6,370",20,..,..,"69,295","34,248",..,..,..,..,39,..,..,..,155,"679,669",182,"3,025",..,..,..,"5,451",..,..,"14,680",..,"46,815",..,..,..,..,"101,872",..,..,..,..,..,"1,641",175,..,43,..,..,..,..,..,..,..,..,..,..,..,..,..,"37,413",126,..,..,44,..,..,"1,207",..,320,..,..,"86,278",..,..,..,..,..,..,"7,688",..,177,..,..,..,"33,824","199,116",53,34,415,..,..,..,..,"5,575","6,294",..,..,..,..,..,..,..,"203,811",..,"1,310",..,157,223,..,..,..,..,"4,265",..,..,..,..,"2,752",..,..,..,..,..,630,..,"4,256",..,..,182,..,857,..,447,"153,751",..,..,..,..,..,..,..,..,..,142,..,463,..,..,..,..,..,..,"860,450","40,497","176,704",109,"1,513",..,"190,890",..,86,..,92,..,..,..,214,..,..,..,..,..,..,..,..,..,..,"574,078",..,..,"17,937","154,195","3,226",..,..,..,..,..,..,..,..,358,"89,462","79,904"
2010,Burundi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,497,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"137,611",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"52,794",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,731,..,..,..,"22,974",..,..,..,..,..,..,..,..,..,..,..,..
2010,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,486,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77,..,..,..,..,..,..,..,..,..,..,..,..,"9,689",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,857,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,146,..,..,..,..,..,..,..,..,..,..,..,..
2010,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"11,141",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"84,118",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,240,..,..
2010,Eritrea,..,..,..,..,..,341,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,029",..,..,..,..,..,..,..,..,..,..,133,..,..,..,189,..,..,..,..,..,..,..,..,..,..,"1,659",..,..,..,..,..,..,..,..,..,..,107,..,..,..,..,429,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117,..,..,..,..,..,..,..,..,..,..,..,345,..,..,..,..,..,..,..,..,..,..,..,..,..,759,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,088",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,459,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,415",120,"1,465",..,..,..,205,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,498",..,..,56,517,..,..,..,..,..,..,..,..,..,..,237,319
2010,Ethiopia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83,..,"3,025",..,..,..,..,..,..,"6,354",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"361,609",..,"122,021",..,..,..,"17,102",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,178,..,..,..,..,..,..,..,..,..,..,..,..,..,118,..,..
2010,Kenya,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,256",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,531",..,..,..,..,..,..,..,..,"1,389",..,"24,091",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,589,..,67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,201",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"398,753",110,"53,218",..,..,..,"7,459",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"326,978",..,..,..,"39,120",..,..,..,..,..,..,..,..,..,..,..,..
2010,Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,784",..,..,..,"9,876",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"8,066",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,425",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,314",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,413",..,..,..,..,..,..,..,..,..,"2,237",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,419",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"54,826",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"4,631",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56,"8,272",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,478","9,620",..,..,..,..,..,..,..,..,..,..,"42,865","37,189"
2010,Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,235",..,..,103,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32,..,..,..,..,..,..,"2,564",20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,308",..,..,..,..,..,119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,517",..,..,..,44,..,..,127,..,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,979",..,53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,163,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43,..,..,..,..,..,..,..,..,..,..,..,..,108,..,..,..,..,..,..,..,541,..,24,979,..,..,..,..,..,92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,395,..,43,..,..,..,..,..,..,..,..,..,..,..
2010,Mayotte,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"56,520",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"9,498",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,230",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,Mozambique,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"6,524",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,250",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,344",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,548",..,..,..,..,..,..,"74,598",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,235",..,..,..,..,..,..,..,"4,256",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"8,566",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"7,367",..,..,..,..,..,..,..,..,..,..,"5,722","24,481"
2010,R�union,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,143",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"81,294",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"16,210",..,..,..,..,..,..,..,..,"4,893","6,294",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,Rwanda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"64,931",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"214,283",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,598",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"92,808",..,..,..,"43,060",..,..,..,..,..,..,..,..,..,..,..,..
2010,Seychelles,..,..,..,..,..,..,..,..,..,..,..,46,..,..,..,..,197,..,..,34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,456,..,..,..,..,..,..,..,..,..,39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,214,..,..,..,..,..,76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,788",126,..,..,..,..,..,109,..,..,..,..,366,..,..,..,..,..,..,..,..,..,..,..,..,716,..,..,34,..,..,..,..,..,495,..,..,..,..,..,..,..,..,..,..,..,..,157,..,..,..,..,..,122,..,..,..,..,22,..,..,..,..,..,630,..,..,..,..,..,..,..,..,86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58,228,..,22,534,..,..,..,..,..,..,..,..,..,214,..,..,..,..,..,..,..,..,..,..,25,..,..,259,..,..,..,..,..,..,..,..,..,..,..,..,..
